Step 400; val-loss 0.8395; accuracy: 0; train-loss: 1.0938
Step 800; val-loss 0.8673; accuracy: 0; train-loss: 0.8686
Step 1200; val-loss 0.7700; accuracy: 0; train-loss: 0.7682
Step 1600; val-loss 0.7075; accuracy: 0; train-loss: 0.7168
Step 2000; val-loss 0.7155; accuracy: 0; train-loss: 0.7236
Step 2400; val-loss 0.5786; accuracy: 0; train-loss: 0.5634
Step 2800; val-loss 0.5409; accuracy: 0; train-loss: 0.5428
Step 3200; val-loss 0.5278; accuracy: 0; train-loss: 0.5222
Step 3600; val-loss 0.5068; accuracy: 0; train-loss: 0.5106
Step 4000; val-loss 0.5152; accuracy: 0; train-loss: 0.5379
Step 4400; val-loss 0.4973; accuracy: 0; train-loss: 0.4915
Step 4800; val-loss 0.4886; accuracy: 0; train-loss: 0.4994
Step 5200; val-loss 0.4872; accuracy: 0; train-loss: 0.4966
Step 5600; val-loss 0.4828; accuracy: 8; train-loss: 0.4784
Step 6000; val-loss 0.4677; accuracy: 73; train-loss: 0.4539
Step 6400; val-loss 0.4654; accuracy: 90; train-loss: 0.4611
Step 6800; val-loss 0.4587; accuracy: 139; train-loss: 0.4694
Step 7200; val-loss 0.4637; accuracy: 173; train-loss: 0.4507
Step 7600; val-loss 0.4541; accuracy: 213; train-loss: 0.4218
Step 8000; val-loss 0.4570; accuracy: 166; train-loss: 0.4498
Step 8400; val-loss 0.4421; accuracy: 352; train-loss: 0.4768
Step 8800; val-loss 0.4396; accuracy: 335; train-loss: 0.4298
Step 9200; val-loss 0.4529; accuracy: 153; train-loss: 0.4570
Step 9600; val-loss 0.4351; accuracy: 446; train-loss: 0.4433
Step 10000; val-loss 0.4339; accuracy: 507; train-loss: 0.4553
Step 10400; val-loss 0.4324; accuracy: 479; train-loss: 0.4653
Step 10800; val-loss 0.4320; accuracy: 510; train-loss: 0.4408
Step 11200; val-loss 0.4361; accuracy: 387; train-loss: 0.4184
Step 11600; val-loss 0.4274; accuracy: 540; train-loss: 0.4298
Step 12000; val-loss 0.4334; accuracy: 375; train-loss: 0.4441
Step 12400; val-loss 0.4255; accuracy: 602; train-loss: 0.4125
Step 12800; val-loss 0.4221; accuracy: 612; train-loss: 0.4035
Step 13200; val-loss 0.4222; accuracy: 632; train-loss: 0.4257
Step 13600; val-loss 0.4225; accuracy: 634; train-loss: 0.4510
Step 14000; val-loss 0.4249; accuracy: 668; train-loss: 0.4483
Step 14400; val-loss 0.4220; accuracy: 668; train-loss: 0.4300
Step 14800; val-loss 0.4233; accuracy: 575; train-loss: 0.4102
Step 15200; val-loss 0.4228; accuracy: 631; train-loss: 0.3860
Step 15600; val-loss 0.4238; accuracy: 683; train-loss: 0.4035
Step 16000; val-loss 0.4190; accuracy: 639; train-loss: 0.4388
Step 16400; val-loss 0.4183; accuracy: 718; train-loss: 0.4196
Step 16800; val-loss 0.4205; accuracy: 683; train-loss: 0.4061
Step 17200; val-loss 0.4202; accuracy: 618; train-loss: 0.4369
Step 17600; val-loss 0.4201; accuracy: 711; train-loss: 0.4204
Step 18000; val-loss 0.4212; accuracy: 652; train-loss: 0.4257
