Step 1000; val-loss 1.6764; accuracy: 0 0 0; train-loss: 1.6775
Step 2000; val-loss 1.5849; accuracy: 0 0 0; train-loss: 1.5852
Step 3000; val-loss 1.5553; accuracy: 5 1 0; train-loss: 1.5560
Step 4000; val-loss 1.5479; accuracy: 1 0 1; train-loss: 1.5484
Step 5000; val-loss 1.5896; accuracy: 1 1 2; train-loss: 1.5856
Step 6000; val-loss 1.7901; accuracy: 0 0 0; train-loss: 1.7834
Step 7000; val-loss 2.0599; accuracy: 0 0 0; train-loss: 2.0481
Step 8000; val-loss 1.9647; accuracy: 0 0 0; train-loss: 1.9698
Step 9000; val-loss 2.1304; accuracy: 0 0 0; train-loss: 2.1321
Step 10000; val-loss 2.2926; accuracy: 0 0 0; train-loss: 2.2858
Step 11000; val-loss 2.3765; accuracy: 0 0 0; train-loss: 2.3826
Step 12000; val-loss 2.5003; accuracy: 0 0 0; train-loss: 2.5219
Step 13000; val-loss 2.5018; accuracy: 0 0 0; train-loss: 2.5089
Step 14000; val-loss 2.5488; accuracy: 0 0 0; train-loss: 2.5477
Step 15000; val-loss 2.4930; accuracy: 0 0 0; train-loss: 2.4914
Step 16000; val-loss 2.4521; accuracy: 0 0 0; train-loss: 2.4441
Step 17000; val-loss 2.3832; accuracy: 0 0 0; train-loss: 2.3854
Step 18000; val-loss 2.3721; accuracy: 0 0 0; train-loss: 2.3716
Step 19000; val-loss 2.3330; accuracy: 0 0 0; train-loss: 2.3339
Step 20000; val-loss 2.3255; accuracy: 0 0 0; train-loss: 2.3256
Step 21000; val-loss 2.3230; accuracy: 0 0 0; train-loss: 2.3245
Step 22000; val-loss 2.3055; accuracy: 0 0 0; train-loss: 2.3039
Step 23000; val-loss 2.3307; accuracy: 0 0 0; train-loss: 2.3312
Step 24000; val-loss 2.3459; accuracy: 0 0 0; train-loss: 2.3500
Step 25000; val-loss 2.3656; accuracy: 0 0 0; train-loss: 2.3604
Step 26000; val-loss 2.3131; accuracy: 0 0 0; train-loss: 2.3123
Step 27000; val-loss 2.3391; accuracy: 0 0 0; train-loss: 2.3379
