Step 400; val-loss 1.0624; accuracy: 0; train-loss: 1.0478
Step 800; val-loss 0.8328; accuracy: 0; train-loss: 0.8442
Step 1200; val-loss 0.6910; accuracy: 0; train-loss: 0.6889
Step 1600; val-loss 0.7008; accuracy: 0; train-loss: 0.6949
Step 2000; val-loss 0.6258; accuracy: 0; train-loss: 0.6218
Step 2400; val-loss 0.5634; accuracy: 0; train-loss: 0.5718
Step 2800; val-loss 0.4982; accuracy: 0; train-loss: 0.5005
Step 3200; val-loss 0.4473; accuracy: 1; train-loss: 0.4385
Step 3600; val-loss 0.4072; accuracy: 0; train-loss: 0.4000
Step 4000; val-loss 0.4085; accuracy: 4; train-loss: 0.4102
Step 4400; val-loss 0.3725; accuracy: 68; train-loss: 0.3702
Step 4800; val-loss 0.3510; accuracy: 163; train-loss: 0.3707
Step 5200; val-loss 0.3730; accuracy: 177; train-loss: 0.3518
Step 5600; val-loss 0.3426; accuracy: 351; train-loss: 0.3578
Step 6000; val-loss 0.3414; accuracy: 324; train-loss: 0.3422
Step 6400; val-loss 0.3512; accuracy: 227; train-loss: 0.3222
Step 6800; val-loss 0.3257; accuracy: 499; train-loss: 0.3291
Step 7200; val-loss 0.3270; accuracy: 465; train-loss: 0.3225
Step 7600; val-loss 0.3683; accuracy: 173; train-loss: 0.3487
Step 8000; val-loss 0.3147; accuracy: 549; train-loss: 0.3020
Step 8400; val-loss 0.3173; accuracy: 626; train-loss: 0.3006
Step 8800; val-loss 0.3213; accuracy: 481; train-loss: 0.3166
Step 9200; val-loss 0.3129; accuracy: 660; train-loss: 0.3326
Step 9600; val-loss 0.3293; accuracy: 309; train-loss: 0.3275
Step 10000; val-loss 0.3032; accuracy: 726; train-loss: 0.2881
Step 10400; val-loss 0.3054; accuracy: 695; train-loss: 0.3046
Step 10800; val-loss 0.2995; accuracy: 740; train-loss: 0.3117
Step 11200; val-loss 0.3039; accuracy: 734; train-loss: 0.2974
Step 11600; val-loss 0.3047; accuracy: 750; train-loss: 0.2984
Step 12000; val-loss 0.3120; accuracy: 539; train-loss: 0.3237
Step 12400; val-loss 0.2965; accuracy: 823; train-loss: 0.2859
Step 12800; val-loss 0.2956; accuracy: 821; train-loss: 0.2910
Step 13200; val-loss 0.2955; accuracy: 846; train-loss: 0.3142
Step 13600; val-loss 0.2955; accuracy: 845; train-loss: 0.2911
Step 14000; val-loss 0.2930; accuracy: 828; train-loss: 0.2642
Step 14400; val-loss 0.2946; accuracy: 818; train-loss: 0.2921
Step 14800; val-loss 0.2916; accuracy: 835; train-loss: 0.2907
Step 15200; val-loss 0.2918; accuracy: 811; train-loss: 0.3078
Step 15600; val-loss 0.2919; accuracy: 855; train-loss: 0.3005
Step 16000; val-loss 0.2935; accuracy: 625; train-loss: 0.3033
Step 16400; val-loss 0.2920; accuracy: 714; train-loss: 0.2885
Step 16800; val-loss 0.2906; accuracy: 784; train-loss: 0.3118
Step 17200; val-loss 0.2900; accuracy: 838; train-loss: 0.2774
Step 17600; val-loss 0.2889; accuracy: 886; train-loss: 0.2870
Step 18000; val-loss 0.2885; accuracy: 875; train-loss: 0.2676
