Step 1000; val-loss 0.6598; accuracy: 0; train-loss: 0.6796
Step 2000; val-loss 0.3530; accuracy: 169; train-loss: 0.3526
Step 3000; val-loss 0.2943; accuracy: 839; train-loss: 0.2958
Step 4000; val-loss 0.2941; accuracy: 815; train-loss: 0.2786
Step 5000; val-loss 0.2839; accuracy: 966; train-loss: 0.2613
Step 6000; val-loss 0.2844; accuracy: 952; train-loss: 0.2672
Step 7000; val-loss 0.2820; accuracy: 983; train-loss: 0.2785
Step 8000; val-loss 0.2810; accuracy: 981; train-loss: 0.2736
Step 9000; val-loss 0.2815; accuracy: 980; train-loss: 0.2804
Step 10000; val-loss 0.2825; accuracy: 967; train-loss: 0.2927
Step 11000; val-loss 0.2819; accuracy: 979; train-loss: 0.3060
Step 12000; val-loss 0.2815; accuracy: 987; train-loss: 0.2714
Step 13000; val-loss 0.2807; accuracy: 989; train-loss: 0.2761
Step 14000; val-loss 0.2800; accuracy: 989; train-loss: 0.3114
Step 15000; val-loss 0.2864; accuracy: 913; train-loss: 0.2805
Step 16000; val-loss 0.2813; accuracy: 991; train-loss: 0.2831
Step 17000; val-loss 0.2802; accuracy: 996; train-loss: 0.2516
Step 18000; val-loss 0.2796; accuracy: 992; train-loss: 0.2684
Step 19000; val-loss 0.2797; accuracy: 991; train-loss: 0.3077
Step 20000; val-loss 0.2801; accuracy: 990; train-loss: 0.2722
Step 21000; val-loss 0.2983; accuracy: 899; train-loss: 0.2923
Step 22000; val-loss 0.2808; accuracy: 984; train-loss: 0.2556
Step 23000; val-loss 0.2798; accuracy: 981; train-loss: 0.2757
Step 24000; val-loss 0.2793; accuracy: 989; train-loss: 0.2704
Step 25000; val-loss 0.2811; accuracy: 991; train-loss: 0.2886
Step 26000; val-loss 0.2793; accuracy: 995; train-loss: 0.2959
Step 27000; val-loss 0.2809; accuracy: 984; train-loss: 0.3008
Step 28000; val-loss 0.2792; accuracy: 992; train-loss: 0.2950
Step 29000; val-loss 0.2791; accuracy: 993; train-loss: 0.2676
Step 30000; val-loss 0.2799; accuracy: 992; train-loss: 0.2975
Step 31000; val-loss 0.2833; accuracy: 986; train-loss: 0.2819
Step 32000; val-loss 0.2802; accuracy: 986; train-loss: 0.2752
Step 33000; val-loss 0.2795; accuracy: 992; train-loss: 0.2821
Step 34000; val-loss 0.2798; accuracy: 981; train-loss: 0.2746
Step 35000; val-loss 0.2796; accuracy: 989; train-loss: 0.2672
Step 36000; val-loss 0.2799; accuracy: 992; train-loss: 0.3027
Step 37000; val-loss 0.2792; accuracy: 991; train-loss: 0.2718
Step 38000; val-loss 0.2808; accuracy: 995; train-loss: 0.2652
Step 39000; val-loss 0.2797; accuracy: 990; train-loss: 0.2890
Step 40000; val-loss 0.2789; accuracy: 987; train-loss: 0.2868
Step 41000; val-loss 0.2806; accuracy: 995; train-loss: 0.3009
Step 42000; val-loss 0.2809; accuracy: 983; train-loss: 0.2637
Step 43000; val-loss 0.2793; accuracy: 996; train-loss: 0.2855
Step 44000; val-loss 0.2804; accuracy: 994; train-loss: 0.2601
Step 45000; val-loss 0.2797; accuracy: 998; train-loss: 0.3112
Step 46000; val-loss 0.2788; accuracy: 990; train-loss: 0.2732
Step 47000; val-loss 0.2790; accuracy: 990; train-loss: 0.2653
Step 48000; val-loss 0.2791; accuracy: 996; train-loss: 0.2673
Step 49000; val-loss 0.2792; accuracy: 996; train-loss: 0.3100
Step 50000; val-loss 0.2789; accuracy: 991; train-loss: 0.2785
Step 51000; val-loss 0.2792; accuracy: 996; train-loss: 0.2540
Step 52000; val-loss 0.2801; accuracy: 983; train-loss: 0.2594
Step 53000; val-loss 0.2798; accuracy: 994; train-loss: 0.2819
Step 54000; val-loss 0.2795; accuracy: 991; train-loss: 0.2515
Step 55000; val-loss 0.2787; accuracy: 997; train-loss: 0.2606
Step 56000; val-loss 0.2790; accuracy: 994; train-loss: 0.2808
Step 57000; val-loss 0.2793; accuracy: 993; train-loss: 0.2789
Step 58000; val-loss 0.2793; accuracy: 996; train-loss: 0.2935
Step 59000; val-loss 0.2788; accuracy: 998; train-loss: 0.2762
Step 60000; val-loss 0.2811; accuracy: 992; train-loss: 0.2794
Step 61000; val-loss 0.2793; accuracy: 998; train-loss: 0.2709
Step 62000; val-loss 0.2800; accuracy: 993; train-loss: 0.2567
Step 63000; val-loss 0.2800; accuracy: 997; train-loss: 0.3024
Step 64000; val-loss 0.2791; accuracy: 993; train-loss: 0.3292
Step 65000; val-loss 0.2790; accuracy: 996; train-loss: 0.2684
Step 66000; val-loss 0.2796; accuracy: 999; train-loss: 0.2946
Step 67000; val-loss 0.2785; accuracy: 998; train-loss: 0.2745
Step 68000; val-loss 0.2792; accuracy: 992; train-loss: 0.2729
Step 69000; val-loss 0.2796; accuracy: 995; train-loss: 0.3141
Step 70000; val-loss 0.2797; accuracy: 998; train-loss: 0.2923
Step 71000; val-loss 0.2797; accuracy: 997; train-loss: 0.2611
Step 72000; val-loss 0.2792; accuracy: 996; train-loss: 0.2418
Step 73000; val-loss 0.2792; accuracy: 996; train-loss: 0.2378
Step 74000; val-loss 0.2793; accuracy: 996; train-loss: 0.3095
Step 75000; val-loss 0.2795; accuracy: 996; train-loss: 0.2863
Step 76000; val-loss 0.2790; accuracy: 989; train-loss: 0.2741
Step 77000; val-loss 0.2795; accuracy: 997; train-loss: 0.2623
Step 78000; val-loss 0.2786; accuracy: 994; train-loss: 0.2666
Step 79000; val-loss 0.2798; accuracy: 996; train-loss: 0.2618
Step 80000; val-loss 0.2789; accuracy: 998; train-loss: 0.2685
Step 81000; val-loss 0.2795; accuracy: 997; train-loss: 0.2726
Step 82000; val-loss 0.2794; accuracy: 999; train-loss: 0.3214
Step 83000; val-loss 0.2796; accuracy: 995; train-loss: 0.2757
Step 84000; val-loss 0.2786; accuracy: 996; train-loss: 0.2750
Step 85000; val-loss 0.2799; accuracy: 997; train-loss: 0.3145
Step 86000; val-loss 0.2793; accuracy: 997; train-loss: 0.2911
Step 87000; val-loss 0.2779; accuracy: 996; train-loss: 0.2915
Step 88000; val-loss 0.2789; accuracy: 998; train-loss: 0.2764
Step 89000; val-loss 0.2792; accuracy: 1000; train-loss: 0.2629
Step 90000; val-loss 0.2793; accuracy: 1000; train-loss: 0.2511
Step 91000; val-loss 0.2791; accuracy: 996; train-loss: 0.3122
Step 92000; val-loss 0.2793; accuracy: 999; train-loss: 0.2754
Step 93000; val-loss 0.2782; accuracy: 996; train-loss: 0.2711
Step 94000; val-loss 0.2794; accuracy: 998; train-loss: 0.2962
Step 95000; val-loss 0.2798; accuracy: 998; train-loss: 0.2657
Step 96000; val-loss 0.2787; accuracy: 997; train-loss: 0.3085
Step 97000; val-loss 0.2791; accuracy: 998; train-loss: 0.2633
Step 98000; val-loss 0.2791; accuracy: 995; train-loss: 0.2643
Step 99000; val-loss 0.2788; accuracy: 1000; train-loss: 0.2589
Step 100000; val-loss 0.2794; accuracy: 995; train-loss: 0.2966
