Step 1000; val-loss 0.7376; accuracy: 0; train-loss: 0.9237
Step 2000; val-loss 0.4286; accuracy: 156; train-loss: 0.4214
Step 3000; val-loss 0.4278; accuracy: 364; train-loss: 0.4254
Step 4000; val-loss 0.3936; accuracy: 799; train-loss: 0.4184
Step 5000; val-loss 0.3947; accuracy: 843; train-loss: 0.3731
Step 6000; val-loss 0.3907; accuracy: 868; train-loss: 0.3993
Step 7000; val-loss 0.3876; accuracy: 895; train-loss: 0.4026
Step 8000; val-loss 0.3883; accuracy: 873; train-loss: 0.3488
Step 9000; val-loss 0.3889; accuracy: 901; train-loss: 0.3343
Step 10000; val-loss 0.3903; accuracy: 885; train-loss: 0.4042
Step 11000; val-loss 0.3874; accuracy: 900; train-loss: 0.3802
Step 12000; val-loss 0.3868; accuracy: 906; train-loss: 0.3884
Step 13000; val-loss 0.3894; accuracy: 863; train-loss: 0.3511
Step 14000; val-loss 0.3869; accuracy: 933; train-loss: 0.4004
Step 15000; val-loss 0.3872; accuracy: 899; train-loss: 0.3556
Step 16000; val-loss 0.3863; accuracy: 880; train-loss: 0.3658
Step 17000; val-loss 0.3870; accuracy: 919; train-loss: 0.3862
Step 18000; val-loss 0.3866; accuracy: 907; train-loss: 0.3795
Step 19000; val-loss 0.3864; accuracy: 902; train-loss: 0.3744
Step 20000; val-loss 0.3861; accuracy: 912; train-loss: 0.4136
Step 21000; val-loss 0.3887; accuracy: 875; train-loss: 0.3646
Step 22000; val-loss 0.3859; accuracy: 938; train-loss: 0.4099
Step 23000; val-loss 0.3884; accuracy: 901; train-loss: 0.3540
Step 24000; val-loss 0.3873; accuracy: 921; train-loss: 0.3923
Step 25000; val-loss 0.3898; accuracy: 873; train-loss: 0.3884
Step 26000; val-loss 0.3874; accuracy: 907; train-loss: 0.3754
Step 27000; val-loss 0.3872; accuracy: 902; train-loss: 0.3427
Step 28000; val-loss 0.3887; accuracy: 887; train-loss: 0.3900
Step 29000; val-loss 0.3874; accuracy: 911; train-loss: 0.3902
Step 30000; val-loss 0.3859; accuracy: 905; train-loss: 0.3925
Step 31000; val-loss 0.3860; accuracy: 864; train-loss: 0.3768
Step 32000; val-loss 0.3864; accuracy: 914; train-loss: 0.4367
Step 33000; val-loss 0.3870; accuracy: 919; train-loss: 0.3811
Step 34000; val-loss 0.3874; accuracy: 933; train-loss: 0.4207
Step 35000; val-loss 0.3865; accuracy: 920; train-loss: 0.3795
