Step 400; val-loss 0.8116; accuracy: 0; train-loss: 0.8041
Step 800; val-loss 0.7086; accuracy: 0; train-loss: 0.6960
Step 1200; val-loss 0.5473; accuracy: 0; train-loss: 0.5586
Step 1600; val-loss 0.5331; accuracy: 0; train-loss: 0.5312
Step 2000; val-loss 0.4567; accuracy: 0; train-loss: 0.4511
Step 2400; val-loss 0.4429; accuracy: 3; train-loss: 0.4312
Step 2800; val-loss 0.4381; accuracy: 27; train-loss: 0.4511
Step 3200; val-loss 0.4316; accuracy: 60; train-loss: 0.4417
Step 3600; val-loss 0.4282; accuracy: 85; train-loss: 0.4263
Step 4000; val-loss 0.4220; accuracy: 136; train-loss: 0.4204
Step 4400; val-loss 0.4282; accuracy: 145; train-loss: 0.4720
Step 4800; val-loss 0.4178; accuracy: 208; train-loss: 0.4213
Step 5200; val-loss 0.4161; accuracy: 214; train-loss: 0.4322
Step 5600; val-loss 0.4158; accuracy: 207; train-loss: 0.4410
Step 6000; val-loss 0.4142; accuracy: 259; train-loss: 0.4081
Step 6400; val-loss 0.4116; accuracy: 293; train-loss: 0.3833
Step 6800; val-loss 0.4107; accuracy: 271; train-loss: 0.4082
Step 7200; val-loss 0.4145; accuracy: 268; train-loss: 0.4094
Step 7600; val-loss 0.4100; accuracy: 336; train-loss: 0.4338
Step 8000; val-loss 0.4082; accuracy: 370; train-loss: 0.4041
Step 8400; val-loss 0.4073; accuracy: 339; train-loss: 0.4130
Step 8800; val-loss 0.4080; accuracy: 364; train-loss: 0.3921
Step 9200; val-loss 0.4068; accuracy: 382; train-loss: 0.3689
Step 9600; val-loss 0.4050; accuracy: 430; train-loss: 0.3849
Step 10000; val-loss 0.4050; accuracy: 379; train-loss: 0.4329
Step 10400; val-loss 0.4051; accuracy: 422; train-loss: 0.3785
Step 10800; val-loss 0.4045; accuracy: 469; train-loss: 0.3947
Step 11200; val-loss 0.4046; accuracy: 493; train-loss: 0.4418
Step 11600; val-loss 0.4025; accuracy: 431; train-loss: 0.3606
Step 12000; val-loss 0.4032; accuracy: 433; train-loss: 0.4209
Step 12400; val-loss 0.4030; accuracy: 476; train-loss: 0.4064
Step 12800; val-loss 0.4027; accuracy: 493; train-loss: 0.4054
Step 13200; val-loss 0.4017; accuracy: 496; train-loss: 0.3920
Step 13600; val-loss 0.4011; accuracy: 510; train-loss: 0.4209
Step 14000; val-loss 0.4018; accuracy: 521; train-loss: 0.4304
Step 14400; val-loss 0.4011; accuracy: 489; train-loss: 0.4245
Step 14800; val-loss 0.4005; accuracy: 523; train-loss: 0.4111
Step 15200; val-loss 0.3991; accuracy: 501; train-loss: 0.4110
Step 15600; val-loss 0.4010; accuracy: 517; train-loss: 0.4012
Step 16000; val-loss 0.3999; accuracy: 524; train-loss: 0.3935
Step 16400; val-loss 0.4002; accuracy: 543; train-loss: 0.4255
Step 16800; val-loss 0.3996; accuracy: 521; train-loss: 0.3922
Step 17200; val-loss 0.3999; accuracy: 588; train-loss: 0.3896
Step 17600; val-loss 0.4002; accuracy: 522; train-loss: 0.4083
Step 18000; val-loss 0.4001; accuracy: 524; train-loss: 0.4339
