Step 100; val-loss 1.1116; accuracy: 0; train-loss: 1.1404
Step 200; val-loss 1.0788; accuracy: 0; train-loss: 1.0881
Step 300; val-loss 1.0690; accuracy: 0; train-loss: 1.0543
Step 400; val-loss 0.8974; accuracy: 0; train-loss: 0.8962
Step 500; val-loss 0.8732; accuracy: 0; train-loss: 0.8767
Step 600; val-loss 0.8519; accuracy: 0; train-loss: 0.8301
Step 700; val-loss 0.8479; accuracy: 0; train-loss: 0.8388
Step 800; val-loss 0.8384; accuracy: 0; train-loss: 0.8257
Step 900; val-loss 0.8179; accuracy: 0; train-loss: 0.8226
Step 1000; val-loss 0.7895; accuracy: 0; train-loss: 0.7762
Step 1100; val-loss 0.7597; accuracy: 0; train-loss: 0.7576
Step 1200; val-loss 0.7687; accuracy: 0; train-loss: 0.7640
Step 1300; val-loss 0.7223; accuracy: 0; train-loss: 0.7125
Step 1400; val-loss 0.7134; accuracy: 0; train-loss: 0.7192
Step 1500; val-loss 0.6935; accuracy: 0; train-loss: 0.6798
Step 1600; val-loss 0.7077; accuracy: 0; train-loss: 0.7016
Step 1700; val-loss 0.6850; accuracy: 0; train-loss: 0.6865
Step 1800; val-loss 0.7150; accuracy: 0; train-loss: 0.7103
Step 1900; val-loss 0.7135; accuracy: 0; train-loss: 0.7020
Step 2000; val-loss 0.6650; accuracy: 0; train-loss: 0.6574
Step 2100; val-loss 0.6825; accuracy: 0; train-loss: 0.6914
Step 2200; val-loss 0.6529; accuracy: 0; train-loss: 0.6784
Step 2300; val-loss 0.6472; accuracy: 0; train-loss: 0.6527
Step 2400; val-loss 0.6327; accuracy: 0; train-loss: 0.6411
Step 2500; val-loss 0.6539; accuracy: 0; train-loss: 0.6644
Step 2600; val-loss 0.6461; accuracy: 0; train-loss: 0.6561
Step 2700; val-loss 0.5876; accuracy: 0; train-loss: 0.6064
Step 2800; val-loss 0.5808; accuracy: 0; train-loss: 0.5900
Step 2900; val-loss 0.5847; accuracy: 0; train-loss: 0.5913
Step 3000; val-loss 0.5862; accuracy: 0; train-loss: 0.6053
Step 3100; val-loss 0.5986; accuracy: 0; train-loss: 0.5894
Step 3200; val-loss 0.5132; accuracy: 0; train-loss: 0.5002
Step 3300; val-loss 0.5264; accuracy: 0; train-loss: 0.5277
Step 3400; val-loss 0.4760; accuracy: 0; train-loss: 0.4673
Step 3500; val-loss 0.4909; accuracy: 0; train-loss: 0.5133
Step 3600; val-loss 0.4558; accuracy: 0; train-loss: 0.4682
Step 3700; val-loss 0.4318; accuracy: 0; train-loss: 0.4957
Step 3800; val-loss 0.5402; accuracy: 0; train-loss: 0.5679
Step 3900; val-loss 0.4266; accuracy: 0; train-loss: 0.4206
Step 4000; val-loss 0.4228; accuracy: 0; train-loss: 0.3905
Step 4100; val-loss 0.4209; accuracy: 0; train-loss: 0.4052
Step 4200; val-loss 0.4075; accuracy: 0; train-loss: 0.4275
Step 4300; val-loss 0.4328; accuracy: 0; train-loss: 0.4521
Step 4400; val-loss 0.4130; accuracy: 0; train-loss: 0.3688
Step 4500; val-loss 0.4037; accuracy: 1; train-loss: 0.3826
Step 4600; val-loss 0.4150; accuracy: 0; train-loss: 0.3801
Step 4700; val-loss 0.4080; accuracy: 0; train-loss: 0.3710
Step 4800; val-loss 0.3938; accuracy: 0; train-loss: 0.4090
Step 4900; val-loss 0.4068; accuracy: 1; train-loss: 0.4212
Step 5000; val-loss 0.3943; accuracy: 0; train-loss: 0.4142
Step 5100; val-loss 0.3932; accuracy: 0; train-loss: 0.3964
Step 5200; val-loss 0.3972; accuracy: 0; train-loss: 0.4109
Step 5300; val-loss 0.3897; accuracy: 0; train-loss: 0.3886
Step 5400; val-loss 0.3845; accuracy: 1; train-loss: 0.4054
Step 5500; val-loss 0.3834; accuracy: 0; train-loss: 0.4242
Step 5600; val-loss 0.3851; accuracy: 0; train-loss: 0.3658
Step 5700; val-loss 0.3908; accuracy: 1; train-loss: 0.3829
Step 5800; val-loss 0.3886; accuracy: 1; train-loss: 0.4052
Step 5900; val-loss 0.3784; accuracy: 4; train-loss: 0.3577
Step 6000; val-loss 0.3771; accuracy: 6; train-loss: 0.4057
Step 6100; val-loss 0.3784; accuracy: 5; train-loss: 0.3663
Step 6200; val-loss 0.3781; accuracy: 29; train-loss: 0.3699
Step 6300; val-loss 0.3754; accuracy: 30; train-loss: 0.3594
Step 6400; val-loss 0.3740; accuracy: 30; train-loss: 0.4108
Step 6500; val-loss 0.3718; accuracy: 42; train-loss: 0.3854
Step 6600; val-loss 0.3707; accuracy: 26; train-loss: 0.3437
Step 6700; val-loss 0.3641; accuracy: 58; train-loss: 0.3354
Step 6800; val-loss 0.3665; accuracy: 48; train-loss: 0.4080
Step 6900; val-loss 0.3691; accuracy: 59; train-loss: 0.3826
Step 7000; val-loss 0.3661; accuracy: 76; train-loss: 0.4247
Step 7100; val-loss 0.3633; accuracy: 97; train-loss: 0.3612
Step 7200; val-loss 0.3606; accuracy: 95; train-loss: 0.3622
Step 7300; val-loss 0.3621; accuracy: 97; train-loss: 0.4030
Step 7400; val-loss 0.3633; accuracy: 86; train-loss: 0.3542
Step 7500; val-loss 0.3589; accuracy: 94; train-loss: 0.3665
Step 7600; val-loss 0.3551; accuracy: 81; train-loss: 0.3359
Step 7700; val-loss 0.3541; accuracy: 88; train-loss: 0.3445
Step 7800; val-loss 0.3574; accuracy: 113; train-loss: 0.3355
Step 7900; val-loss 0.3575; accuracy: 114; train-loss: 0.3300
Step 8000; val-loss 0.3579; accuracy: 105; train-loss: 0.3416
Step 8100; val-loss 0.3512; accuracy: 145; train-loss: 0.3356
Step 8200; val-loss 0.3554; accuracy: 112; train-loss: 0.3807
Step 8300; val-loss 0.3551; accuracy: 129; train-loss: 0.3154
Step 8400; val-loss 0.3508; accuracy: 111; train-loss: 0.3415
Step 8500; val-loss 0.3532; accuracy: 119; train-loss: 0.3399
Step 8600; val-loss 0.3502; accuracy: 157; train-loss: 0.3235
Step 8700; val-loss 0.3557; accuracy: 135; train-loss: 0.3216
Step 8800; val-loss 0.3486; accuracy: 141; train-loss: 0.3886
Step 8900; val-loss 0.3520; accuracy: 144; train-loss: 0.3475
Step 9000; val-loss 0.3498; accuracy: 181; train-loss: 0.3544
Step 9100; val-loss 0.3463; accuracy: 170; train-loss: 0.3271
Step 9200; val-loss 0.3425; accuracy: 191; train-loss: 0.3388
Step 9300; val-loss 0.3439; accuracy: 178; train-loss: 0.3173
Step 9400; val-loss 0.3471; accuracy: 179; train-loss: 0.3653
Step 9500; val-loss 0.3442; accuracy: 201; train-loss: 0.3476
Step 9600; val-loss 0.3431; accuracy: 168; train-loss: 0.2924
Step 9700; val-loss 0.3462; accuracy: 189; train-loss: 0.3634
Step 9800; val-loss 0.3454; accuracy: 177; train-loss: 0.3899
Step 9900; val-loss 0.3429; accuracy: 191; train-loss: 0.2963
Step 10000; val-loss 0.3412; accuracy: 200; train-loss: 0.3476
