Step 100; val-loss 1.1254; accuracy: 0; train-loss: 1.1111
Step 200; val-loss 1.0861; accuracy: 0; train-loss: 1.0921
Step 300; val-loss 0.9047; accuracy: 0; train-loss: 0.8987
Step 400; val-loss 0.8566; accuracy: 0; train-loss: 0.8524
Step 500; val-loss 0.8033; accuracy: 0; train-loss: 0.7999
Step 600; val-loss 0.7788; accuracy: 0; train-loss: 0.7827
Step 700; val-loss 0.7538; accuracy: 0; train-loss: 0.7639
Step 800; val-loss 0.7296; accuracy: 0; train-loss: 0.7226
Step 900; val-loss 0.7229; accuracy: 0; train-loss: 0.7175
Step 1000; val-loss 0.6706; accuracy: 0; train-loss: 0.6664
Step 1100; val-loss 0.6895; accuracy: 0; train-loss: 0.6874
Step 1200; val-loss 0.6459; accuracy: 0; train-loss: 0.6482
Step 1300; val-loss 0.6428; accuracy: 1; train-loss: 0.6478
Step 1400; val-loss 0.6207; accuracy: 0; train-loss: 0.6499
Step 1500; val-loss 0.6324; accuracy: 0; train-loss: 0.6404
Step 1600; val-loss 0.5649; accuracy: 0; train-loss: 0.5619
Step 1700; val-loss 0.5176; accuracy: 0; train-loss: 0.5154
Step 1800; val-loss 0.4892; accuracy: 1; train-loss: 0.5332
Step 1900; val-loss 0.4863; accuracy: 0; train-loss: 0.4873
Step 2000; val-loss 0.4705; accuracy: 1; train-loss: 0.4779
Step 2100; val-loss 0.4856; accuracy: 2; train-loss: 0.4868
Step 2200; val-loss 0.4603; accuracy: 0; train-loss: 0.4841
Step 2300; val-loss 0.4559; accuracy: 4; train-loss: 0.4554
Step 2400; val-loss 0.4280; accuracy: 90; train-loss: 0.4476
Step 2500; val-loss 0.4525; accuracy: 41; train-loss: 0.4512
Step 2600; val-loss 0.4238; accuracy: 80; train-loss: 0.4227
Step 2700; val-loss 0.4092; accuracy: 169; train-loss: 0.4093
Step 2800; val-loss 0.4129; accuracy: 130; train-loss: 0.4008
Step 2900; val-loss 0.4296; accuracy: 85; train-loss: 0.4406
Step 3000; val-loss 0.3959; accuracy: 217; train-loss: 0.3924
Step 3100; val-loss 0.3830; accuracy: 315; train-loss: 0.3854
